,job_title,min_salary,max_salary,city,state,company_name,company_industry,company_rating,bachelors,masters,phd
977,"Sr. Scientist, Immunology",92176,176466,South San Francisco,CA,Astellas Pharma,Biotech & Pharmaceuticals,3.3,0,0,1
978,"Scientist, Cell-Based Assay",99987,122274,South San Francisco,CA,Twist Bioscience,Biotech & Pharmaceuticals,2.6,0,0,1
979,Clinical Lab Scientist II,75401,111002,Oakland,CA,Alameda Hospital,Health Care,2.9,0,0,0
980,Senior Software / Data Pipeline Engineer / Spark,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
981,Senior Data Engineer | Python | Snowflake | Transportation | Insurance,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,1,0
982,"Marketing Decision Scientist, WhatsApp Marketing",36583,65845,Menlo Park,CA,Facebook,Information Technology,4.4,0,0,0
983,Biologist Research Scientist,67876,79608,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,1,0,1
984,"Associate Scientist, Oncology",0,0,Redwood City,CA,Ascendis Pharma,0,2.6,1,0,1
985,Associate Scientist - A0lytical Development,51742,60261,Berkeley,CA,Eurofins,Biotech & Pharmaceuticals,3.2,1,1,0
986,Data Science Program Lead II,0,0,Redwood City,CA,Randstad US,Business Services,3.7,0,0,0
987,"Intern, Data A0lyst",0,0,San Ramon,CA,CooperVision,0,0,1,1,0
988,"Senior Scientist, Skin Biology, Consumer Care",125289,237515,Emeryville,CA,Zymergen,0,2.9,0,1,1
989,"Clinical Programmer or Senior Clinical Programmer , Biostatistics and Data Science Group, Evidence Generation USMA",102493,113865,South San Francisco,CA,Genentech,Biotech & Pharmaceuticals,3.9,1,1,0
990,Principal Big Data Engineer - Public Tech Company (SF),0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
991,Data A0lyst,73853,101098,Concord,CA,The Rockridge Group,0,2.3,0,0,0
992,Product Formulation Scientist,0,0,San Leandro,CA,Geltor,Biotech & Pharmaceuticals,0,1,1,1
993,"Sr. Scientist, A0lytical Development",0,0,Brisbane,CA,Aimmune Therapeutics,0,4,1,1,1
994,"Scientist, Antibody and Bioassay Development",0,0,South San Francisco,CA,"IgGenix, Inc.",0,0,0,0,1
995,Process Scientist - MSAT,84819,164306,Berkeley,CA,Bayer,Biotech & Pharmaceuticals,4,0,0,0
996,Data A0lyst III,0,0,Menlo Park,CA,Apex Systems,Business Services,3.8,0,0,0
997,Sr Associate Scientist - Immuno-Oncology and Inflammation Research,113327,149508,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
998,Sr Associate Scientist - Immunology and Oncology Research,0,0,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
999,Principal Machine Learning Scientist,113369,154537,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
1000,Bioinformatics Scientist / Engineer,123251,164485,South San Francisco,CA,PACT Pharma,Biotech & Pharmaceuticals,3.5,0,0,0
1001,Senior Scientist Media Development & Cell Line Engineering,119470,128592,South San Francisco,CA,NGM Biopharmaceuticals,Biotech & Pharmaceuticals,3.6,1,1,1
1002,Scientist II - Gene Editing,124626,136489,South San Francisco,CA,PACT Pharma,Biotech & Pharmaceuticals,3.5,0,0,0
1003,"Data Processing Senior Research Scientist, OPIR",88309,173867,Palo Alto,CA,Lockheed Martin,Aerospace & Defense,3.8,0,0,0
